id,domain,rank
800001,educationforthinking.org,4.81
800002,edwardsib.org,4.81
800003,pleione.ehsst.org,4.81
800004,eidangerslekt.org,4.81
800005,environnement-sante-manche.org,4.81
800006,business.epcc.org,4.81
800007,epstengallery.org,4.81
800008,era-india.org,4.81
800009,eschew.org,4.81
800010,everycitizenasoldier.org,4.81
800011,mljs.evilnickname.org,4.81
800012,extremelyhungary.org,4.81
800013,faulktoncity.org,4.81
800014,feraferia.org,4.81
800015,fihrrst.org,4.81
800016,fiphps.org,4.81
800017,flamenco.org,4.81
800018,blog.flowable.org,4.81
800019,fmcurling.org,4.81
800020,focs2007.org,4.81
800021,fotomission.org,4.81
800022,freetostitchfreetobitch.org,4.81
800023,friendsoflittlesaigon.org,4.81
800024,friendsofsoldiers.org,4.81
800025,fwccafrica.org,4.81
800026,dokkan.game-db.org,4.81
800027,gascottishrite.org,4.81
800028,glenmarysisters.org,4.81
800029,glenngould.org,4.81
800030,gnfafootball.org,4.81
800031,gophilippines.org,4.81
800032,gottschee.org,4.81
800033,grantcountyhistory.org,4.81
800034,grazhdamusicandart.org,4.81
800035,greenmountaincurlingclub.org,4.81
800036,guamforestry.org,4.81
800037,gvias.org,4.81
800038,haileyice.org,4.81
800039,hccog.org,4.81
800040,hcrepublicans.org,4.81
800041,heartland-ministries.org,4.81
800042,hildamurrell.org,4.81
800043,hiwatt.org,4.81
800044,holry.org,4.81
800045,huc.org,4.81
800046,humanscape.org,4.81
800047,bridges.husd.org,4.81
800048,centennial.husd.org,4.81
800049,chaparral.husd.org,4.81
800050,cooleyearlychildhood.husd.org,4.81
800051,coronado.husd.org,4.81
800052,cortina.husd.org,4.81
800053,gatewaypointe.husd.org,4.81
800054,higleyhigh.husd.org,4.81
800055,higleytraditional.husd.org,4.81
800056,sossamanearlychildhood.husd.org,4.81
800057,williamsfield.husd.org,4.81
800058,hvharts.org,4.81
800059,ailleurs.hypotheses.org,4.81
800060,i-81coalition.org,4.81
800061,iamgsd.org,4.81
800062,ibchelp.org,4.81
800063,iccrs-archive.org,4.81
800064,idahocityhf.org,4.81
800065,iemoutreach.org,4.81
800066,ifca-hof.org,4.81
800067,ifct.org,4.81
800068,iitfoundation.org,4.81
800069,judo.ijf.org,4.81
800070,im.imamhussain.org,4.81
800071,islandtheatre.org,4.81
800072,ivanhoegame.org,4.81
800073,iwabiennale.org,4.81
800074,jeffrosen.org,4.81
800075,jerseycountyhealth.org,4.81
800076,jerseycurling.org,4.81
800077,jobs-hannover.org,4.81
800078,joeallard.org,4.81
800079,johnpalmer.org,4.81
800080,kanosociety.org,4.81
800081,kawasakimotorcycleparts.org,4.81
800082,kennedysociety.org,4.81
800083,kentuckyfolklife.org,4.81
800084,khoe.org,4.81
800085,kidspeakonline.org,4.81
800086,support.klever.org,4.81
800087,koozali.org,4.81
800088,kpwar.org,4.81
800089,landlesspeasants.org,4.81
800090,lawsonpark.org,4.81
800091,lbha.org,4.81
800092,lcenter.org,4.81
800093,leatherlibrary.org,4.81
800094,leighharriers.org,4.81
800095,levininstitute.org,4.81
800096,levycountyquiltmuseum.org,4.81
800097,lhowon.org,4.81
800098,orogrande.lhusd.org,4.81
